,Date,Promotion3
92,20111111,215.07
93,20111118,51.98
94,20111125,55805.51
95,20111202,1398.11
96,20111209,105.02
97,20111216,347.37
98,20111223,634.7
99,20111230,260.36
100,20120106,143.1
101,20120113,42.24
102,20120120,33.88
103,20120127,44.0
104,20120203,160.53
105,20120210,101.64
106,20120217,9.8
107,20120224,3.2
108,20120302,10.8
109,20120309,6.0
110,20120316,2.02
111,20120323,4.97
112,20120330,10.25
113,20120406,77.98
114,20120413,17.07
115,20120420,19.75
116,20120427,35.49
117,20120504,69.89
118,20120511,10.52
119,20120518,45.11
120,20120525,745.19
121,20120601,370.51
122,20120608,64.55
123,20120615,0.25
124,20120622,3.05
126,20120706,192.83
127,20120713,36.24
128,20120720,9.53
129,20120727,1.59
130,20120803,30.23
131,20120810,6.85
132,20120817,4.84
133,20120824,2.97
134,20120831,21.7
135,20120907,50.94
136,20120914,18.79
137,20120921,4.69
138,20120928,1.65
231,20111111,443.32
232,20111118,152.12
233,20111125,77451.26
234,20111202,1897.27
235,20111209,306.43
236,20111216,341.49
237,20111223,1501.75
238,20111230,139.53
239,20120106,121.16
240,20120113,98.38
241,20120120,105.97
242,20120127,86.09
243,20120203,221.4
244,20120210,94.07
245,20120217,15.76
246,20120224,10.2
247,20120302,9.0
248,20120309,3.0
249,20120316,3.0
250,20120323,6.63
251,20120330,17.0
252,20120406,32.58
253,20120413,20.21
254,20120420,33.53
255,20120427,38.32
256,20120504,78.09
257,20120511,117.38
258,20120518,42.67
259,20120525,1030.53
260,20120601,245.37
261,20120608,78.39
262,20120615,0.19
263,20120622,60.99
265,20120706,100.15
266,20120713,20.53
267,20120720,24.97
268,20120727,2.53
269,20120803,43.02
270,20120810,13.43
271,20120817,10.53
272,20120824,6.62
273,20120831,21.38
274,20120907,60.97
275,20120914,37.32
276,20120921,15.55
277,20120928,1.65
370,20111111,200.01
371,20111118,19.95
372,20111125,37612.74
373,20111202,781.71
374,20111209,123.42
375,20111216,170.36
376,20111223,411.52
377,20111230,66.66
378,20120106,15.0
380,20120120,1.46
382,20120203,0.6
383,20120210,2.2
384,20120217,1.88
387,20120309,1.39
388,20120316,3.2
389,20120323,1.43
390,20120330,1.25
391,20120406,24.45
392,20120413,3.0
393,20120420,1.75
394,20120427,2.95
395,20120504,30.92
396,20120511,0.25
397,20120518,0.3
398,20120525,291.17
399,20120601,220.03
400,20120608,30.18
401,20120615,1.0
402,20120622,0.51
404,20120706,28.16
405,20120713,2.02
406,20120720,3.83
407,20120727,2.46
408,20120803,0.04
409,20120810,2.4
412,20120831,24.7
413,20120907,8.31
414,20120914,3.72
415,20120921,7.69
416,20120928,1.5
509,20111111,430.13
510,20111118,372.9
511,20111125,83340.33
512,20111202,2260.29
513,20111209,984.98
514,20111216,1790.15
515,20111223,2938.24
516,20111230,399.77
517,20120106,234.0
518,20120113,76.37
519,20120120,44.16
520,20120127,46.16
521,20120203,285.11
522,20120210,118.37
523,20120217,17.36
524,20120224,5.4
525,20120302,32.93
526,20120309,8.53
528,20120323,5.99
529,20120330,6.5
530,20120406,73.38
531,20120413,30.84
532,20120420,43.43
533,20120427,26.68
534,20120504,93.65
535,20120511,103.05
536,20120518,99.91
537,20120525,862.31
538,20120601,47.93
539,20120608,7.86
540,20120615,0.22
541,20120622,3.48
543,20120706,157.62
544,20120713,17.27
545,20120720,30.56
546,20120727,4.26
547,20120803,58.34
548,20120810,60.94
549,20120817,5.54
550,20120824,23.4
551,20120831,68.29
552,20120907,59.06
553,20120914,23.12
554,20120921,16.84
555,20120928,2.94
648,20111111,60.03
649,20111118,95.01
650,20111125,29333.06
651,20111202,658.01
652,20111209,83.07
653,20111216,78.77
654,20111223,427.57
655,20111230,72.93
656,20120106,35.03
657,20120113,1.71
660,20120203,23.82
661,20120210,1.53
662,20120217,1.76
664,20120302,1.0
665,20120309,2.0
666,20120316,2.24
667,20120323,5.59
668,20120330,2.7
669,20120406,6.48
671,20120420,3.0
672,20120427,5.05
673,20120504,83.63
674,20120511,42.75
675,20120518,65.34
676,20120525,431.99
677,20120601,41.58
678,20120608,0.24
679,20120615,0.04
682,20120706,52.06
683,20120713,12.0
684,20120720,3.39
685,20120727,0.36
686,20120803,0.7
687,20120810,0.5
688,20120817,2.31
689,20120824,4.54
690,20120831,13.0
691,20120907,9.61
692,20120914,4.55
693,20120921,1.1
694,20120928,0.55
787,20111111,123.2
788,20111118,205.38
789,20111125,83192.81
790,20111202,2885.14
791,20111209,282.45
792,20111216,603.98
793,20111223,1417.2
794,20111230,326.68
795,20120106,108.24
796,20120113,65.72
797,20120120,33.02
798,20120127,37.1
799,20120203,161.55
800,20120210,68.45
801,20120217,12.82
802,20120224,10.6
803,20120302,14.35
804,20120309,4.19
805,20120316,4.59
806,20120323,10.95
807,20120330,16.5
808,20120406,24.6
809,20120413,18.04
810,20120420,14.79
811,20120427,15.54
812,20120504,117.27
813,20120511,133.22
814,20120518,52.03
815,20120525,945.23
816,20120601,441.83
817,20120608,63.7
818,20120615,350.16
819,20120622,160.51
821,20120706,205.95
822,20120713,39.42
823,20120720,18.43
824,20120727,8.11
825,20120803,19.13
826,20120810,5.21
827,20120817,0.01
828,20120824,50.0
829,20120831,16.74
830,20120907,24.6
831,20120914,6.01
832,20120921,6.15
833,20120928,1.65
926,20111111,143.06
927,20111118,7.35
928,20111125,41487.59
929,20111202,738.42
930,20111209,94.93
931,20111216,168.73
932,20111223,483.1
933,20111230,113.19
934,20120106,7.26
935,20120113,0.54
936,20120120,0.73
938,20120203,4.53
939,20120210,1.73
940,20120217,1.88
941,20120224,93.06
942,20120302,139.2
943,20120309,2.18
944,20120316,2.55
945,20120323,3.84
946,20120330,9.25
947,20120406,21.98
948,20120413,15.47
949,20120420,14.21
950,20120427,45.94
951,20120504,69.97
952,20120511,4.8
953,20120518,24.83
954,20120525,90.05
955,20120601,98.67
956,20120608,0.12
957,20120615,0.65
958,20120622,0.09
960,20120706,5.07
961,20120713,0.35
962,20120720,11.37
963,20120727,3.45
964,20120803,2.88
965,20120810,55.79
966,20120817,46.86
967,20120824,1.86
968,20120831,16.35
969,20120907,10.15
970,20120914,5.03
971,20120921,3.0
972,20120928,4.5
1065,20111111,541.05
1066,20111118,166.32
1067,20111125,45968.51
1068,20111202,1464.46
1069,20111209,346.05
1070,20111216,326.76
1071,20111223,891.94
1072,20111230,164.34
1073,20120106,96.35
1074,20120113,15.98
1075,20120120,9.02
1076,20120127,15.18
1077,20120203,83.15
1078,20120210,32.12
1079,20120217,10.5
1080,20120224,1.0
1081,20120302,0.6
1082,20120309,2.0
1083,20120316,6.14
1084,20120323,2.04
1086,20120406,27.04
1087,20120413,4.2
1088,20120420,4.9
1089,20120427,2.2
1090,20120504,260.55
1091,20120511,3.82
1092,20120518,24.25
1093,20120525,651.09
1094,20120601,58.17
1095,20120608,30.45
1096,20120615,151.05
1097,20120622,2.97
1099,20120706,182.17
1100,20120713,24.0
1101,20120720,13.02
1102,20120727,3.55
1103,20120803,17.83
1104,20120810,59.03
1105,20120817,4.26
1106,20120824,4.2
1107,20120831,17.16
1108,20120907,29.22
1109,20120914,12.29
1110,20120921,2.28
1111,20120928,0.55
1204,20111111,63.15
1205,20111118,21.12
1206,20111125,44061.13
1207,20111202,1330.53
1208,20111209,248.8
1209,20111216,136.48
1210,20111223,318.75
1211,20111230,44.07
1212,20120106,11.2
1216,20120203,4.46
1217,20120210,1.71
1218,20120217,6.0
1219,20120224,1.0
1221,20120309,17.36
1222,20120316,7.33
1223,20120323,0.68
1225,20120406,10.0
1227,20120420,2.0
1228,20120427,0.4
1229,20120504,68.0
1230,20120511,1.04
1231,20120518,0.24
1232,20120525,361.83
1233,20120601,76.8
1234,20120608,0.3
1235,20120615,50.03
1238,20120706,8.08
1239,20120713,2.02
1240,20120720,5.85
1241,20120727,1.66
1242,20120803,0.22
1243,20120810,1.4
1244,20120817,3.0
1245,20120824,1.8
1246,20120831,17.6
1247,20120907,22.74
1248,20120914,10.75
1250,20120928,0.55
1343,20111111,752.18
1344,20111118,115.18
1345,20111125,141630.61
1346,20111202,4737.51
1347,20111209,1019.36
1348,20111216,1203.16
1349,20111223,2432.01
1350,20111230,179.82
1351,20120106,39.72
1352,20120113,1.38
1353,20120120,1.0
1355,20120203,174.33
1356,20120210,66.96
1357,20120217,10.8
1359,20120302,48.76
1360,20120309,14.95
1361,20120316,6.03
1362,20120323,4.08
1364,20120406,23.74
1365,20120413,27.47
1366,20120420,5.17
1367,20120427,3.39
1368,20120504,21.31
1369,20120511,105.67
1370,20120518,9.46
1371,20120525,712.2
1372,20120601,172.39
1373,20120608,338.26
1374,20120615,41.99
1375,20120622,1.17
1377,20120706,4.12
1378,20120713,0.32
1379,20120720,44.6
1380,20120727,8.87
1381,20120803,53.4
1382,20120810,58.8
1383,20120817,7.2
1384,20120824,34.0
1385,20120831,68.24
1386,20120907,47.52
1387,20120914,15.97
1388,20120921,27.0
1389,20120928,2.82
1482,20111111,473.38
1483,20111118,263.1
1484,20111125,71081.98
1485,20111202,2917.09
1486,20111209,525.03
1487,20111216,592.44
1488,20111223,964.31
1489,20111230,239.33
1490,20120106,144.66
1491,20120113,39.14
1492,20120120,37.76
1493,20120127,49.3
1494,20120203,137.23
1495,20120210,81.74
1496,20120217,24.82
1497,20120224,0.5
1498,20120302,7.03
1499,20120309,3.5
1500,20120316,4.19
1501,20120323,2.04
1502,20120330,1.0
1503,20120406,45.34
1504,20120413,9.86
1505,20120420,1.44
1506,20120427,1.48
1507,20120504,160.84
1508,20120511,21.7
1509,20120518,9.22
1510,20120525,984.13
1511,20120601,126.72
1512,20120608,78.65
1513,20120615,0.15
1514,20120622,1.98
1516,20120706,88.73
1517,20120713,34.8
1518,20120720,44.95
1519,20120727,5.64
1520,20120803,25.5
1521,20120810,8.74
1522,20120817,0.04
1523,20120824,102.55
1524,20120831,45.0
1525,20120907,45.05
1526,20120914,19.52
1527,20120921,12.0
1528,20120928,5.2
1621,20111111,234.64
1622,20111118,84.93
1623,20111125,63143.29
1624,20111202,2022.46
1625,20111209,573.92
1626,20111216,1038.3
1627,20111223,839.84
1628,20111230,60.29
1629,20120106,36.96
1631,20120120,5.84
1633,20120203,43.08
1634,20120210,14.99
1635,20120217,2.88
1636,20120224,2.0
1637,20120302,12.84
1638,20120309,3.91
1639,20120316,4.02
1640,20120323,7.35
1641,20120330,8.34
1642,20120406,61.63
1643,20120413,14.08
1644,20120420,7.7
1645,20120427,26.18
1646,20120504,76.29
1647,20120511,8.54
1648,20120518,3.73
1649,20120525,373.92
1650,20120601,43.71
1651,20120608,160.4
1652,20120615,2.51
1653,20120622,3.65
1655,20120706,3.33
1656,20120713,0.06
1657,20120720,37.56
1658,20120727,2.31
1659,20120803,45.73
1660,20120810,38.62
1661,20120817,6.6
1662,20120824,70.0
1663,20120831,116.87
1664,20120907,46.18
1665,20120914,19.56
1666,20120921,388.52
1667,20120928,0.22
1760,20111111,645.07
1761,20111118,89.88
1762,20111125,109030.75
1763,20111202,25126.9
1764,20111209,577.59
1765,20111216,959.55
1766,20111223,2971.53
1767,20111230,406.4
1768,20120106,179.77
1769,20120113,119.93
1770,20120120,87.63
1771,20120127,108.46
1772,20120203,282.08
1773,20120210,179.72
1774,20120217,25.52
1775,20120224,3.4
1776,20120302,167.88
1777,20120309,9.44
1778,20120316,3.85
1779,20120323,2.52
1780,20120330,15.84
1781,20120406,59.94
1782,20120413,54.65
1783,20120420,70.45
1784,20120427,67.16
1785,20120504,337.47
1786,20120511,60.34
1787,20120518,86.99
1788,20120525,416.15
1789,20120601,37.87
1790,20120608,254.19
1791,20120615,0.22
1792,20120622,1.79
1794,20120706,89.85
1795,20120713,1.17
1796,20120720,35.23
1797,20120727,5.2
1798,20120803,98.64
1799,20120810,51.09
1800,20120817,40.96
1801,20120824,179.51
1802,20120831,88.44
1803,20120907,69.23
1804,20120914,28.06
1805,20120921,46.0
1806,20120928,2.6
1899,20111111,1079.89
1900,20111118,273.72
1901,20111125,89402.64
1902,20111202,3657.58
1903,20111209,342.71
1904,20111216,881.17
1905,20111223,2127.77
1906,20111230,312.98
1907,20120106,839.74
1908,20120113,636.54
1909,20120120,860.9
1910,20120127,689.52
1911,20120203,788.56
1912,20120210,285.82
1913,20120217,143.36
1914,20120224,4.2
1915,20120302,46.67
1916,20120309,1.49
1917,20120316,5.5
1918,20120323,6.85
1919,20120330,8.84
1920,20120406,81.19
1921,20120413,51.75
1922,20120420,100.15
1923,20120427,45.88
1924,20120504,128.13
1925,20120511,131.11
1926,20120518,8.88
1927,20120525,634.52
1928,20120601,185.64
1929,20120608,172.7
1930,20120615,5.06
1931,20120622,4.3
1933,20120706,83.47
1934,20120713,5.37
1935,20120720,19.69
1936,20120727,4.1
1937,20120803,110.8
1938,20120810,32.44
1939,20120817,5.84
1940,20120824,255.31
1941,20120831,120.98
1942,20120907,34.35
1943,20120914,28.2
1944,20120921,29.88
1945,20120928,8.16
2038,20111111,617.98
2039,20111118,49.57
2040,20111125,67073.91
2041,20111202,6485.06
2042,20111209,75.62
2043,20111216,158.53
2044,20111223,1120.42
2045,20111230,111.35
2046,20120106,18.8
2047,20120113,1.0
2050,20120203,56.72
2051,20120210,10.39
2052,20120217,1.76
2053,20120224,1.0
2054,20120302,27.4
2055,20120309,1.49
2056,20120316,2.98
2057,20120323,0.5
2058,20120330,3.0
2059,20120406,46.32
2060,20120413,13.58
2061,20120420,5.9
2062,20120427,9.82
2063,20120504,110.97
2064,20120511,11.17
2065,20120518,8.93
2066,20120525,482.11
2067,20120601,41.98
2068,20120608,0.19
2069,20120615,0.01
2072,20120706,24.22
2073,20120713,50.02
2074,20120720,31.31
2075,20120727,0.87
2076,20120803,0.48
2077,20120810,100.34
2078,20120817,0.3
2080,20120831,27.69
2081,20120907,15.69
2082,20120914,1.49
2083,20120921,28.5
2084,20120928,0.66
2177,20111111,200.11
2178,20111118,3.55
2179,20111125,34754.69
2180,20111202,944.52
2181,20111209,73.7
2182,20111216,99.57
2183,20111223,475.6
2184,20111230,101.87
2185,20120106,15.7
2186,20120113,0.24
2187,20120120,5.58
2189,20120203,2.39
2190,20120210,0.45
2194,20120309,3.17
2195,20120316,1.33
2196,20120323,4.43
2197,20120330,5.0
2198,20120406,43.82
2199,20120413,22.0
2200,20120420,22.92
2201,20120427,16.41
2202,20120504,35.34
2203,20120511,61.11
2204,20120518,96.9
2205,20120525,123.98
2206,20120601,60.41
2207,20120608,63.9
2208,20120615,125.91
2209,20120622,0.27
2211,20120706,13.1
2212,20120713,2.07
2213,20120720,4.69
2216,20120810,11.0
2217,20120817,1.1
2218,20120824,3.34
2219,20120831,35.78
2220,20120907,37.43
2221,20120914,9.3
2316,20111111,225.67
2317,20111118,32.39
2318,20111125,62095.85
2319,20111202,16380.88
2320,20111209,29.6
2321,20111216,38.78
2322,20111223,1077.82
2323,20111230,120.08
2324,20120106,33.9
2325,20120113,0.52
2328,20120203,38.96
2329,20120210,16.27
2330,20120217,2.64
2332,20120302,37.38
2333,20120309,2.16
2334,20120316,1.02
2336,20120330,6.0
2337,20120406,43.74
2338,20120413,3.6
2339,20120420,2.1
2340,20120427,1.62
2341,20120504,181.65
2342,20120511,22.59
2343,20120518,92.93
2344,20120525,71.81
2345,20120601,31.8
2346,20120608,328.34
2347,20120615,0.18
2350,20120706,25.38
2351,20120713,0.18
2352,20120720,20.25
2353,20120727,7.79
2354,20120803,8.34
2355,20120810,4.42
2356,20120817,0.81
2357,20120824,50.17
2358,20120831,2.73
2359,20120907,18.08
2360,20120914,13.95
2361,20120921,14.5
2362,20120928,9.0
2455,20111111,213.79
2456,20111118,182.6
2457,20111125,71366.86
2458,20111202,1389.17
2459,20111209,659.34
2460,20111216,882.11
2461,20111223,2083.28
2462,20111230,300.74
2463,20120106,128.45
2464,20120113,10.54
2465,20120120,3.66
2467,20120203,424.44
2468,20120210,222.56
2469,20120217,2.0
2471,20120302,152.58
2472,20120309,25.46
2473,20120316,4.93
2474,20120323,6.53
2475,20120330,6.93
2476,20120406,43.89
2477,20120413,11.72
2478,20120420,10.57
2479,20120427,23.93
2480,20120504,39.54
2481,20120511,89.44
2482,20120518,70.23
2483,20120525,251.38
