,Date,Promotion4,Weekly_Sales
92,20111111,2406.62,1594938.89
93,20111118,427.39,1539483.7
94,20111125,8.0,2033320.66
95,20111202,2084.64,1584083.95
96,20111209,3639.42,1799682.38
97,20111216,225.79,1881176.67
98,20111223,24.9,2270188.99
99,20111230,983.65,1497462.72
100,20120106,1450.13,1550369.92
101,20120113,453.08,1459601.17
102,20120120,500.62,1394393.84
103,20120127,11.0,1319325.59
104,20120203,32403.87,1636339.65
105,20120210,8471.88,1802477.43
106,20120217,8409.31,1819870.0
107,20120224,1219.92,1539387.83
108,20120302,25390.88,1688420.76
109,20120309,671.43,1675431.16
110,20120316,2724.65,1677472.78
111,20120323,426.72,1511068.07
112,20120330,1654.17,1649604.63
113,20120406,3750.59,1899676.88
114,20120413,1822.55,1621031.7
115,20120420,275.13,1521577.87
116,20120427,577.14,1468928.37
117,20120504,4977.35,1684519.99
118,20120511,2443.14,1611096.05
119,20120518,1675.49,1595901.87
120,20120525,1429.96,1555444.55
121,20120601,148.75,1624477.58
122,20120608,2652.04,1697230.96
123,20120615,2420.28,1630607.0
124,20120622,2524.07,1527845.81
125,20120629,435.99,1540421.49
126,20120706,4066.01,1769854.16
127,20120713,3909.38,1527014.04
128,20120720,2262.02,1497954.76
129,20120727,10267.54,1439123.71
130,20120803,12007.04,1631135.79
131,20120810,6964.26,1592409.97
132,20120817,2752.2,1597868.05
133,20120824,3463.03,1494122.38
134,20120831,13209.64,1582083.4
135,20120907,4120.32,1661767.33
136,20120914,1523.11,1517428.87
137,20120921,1010.06,1506126.06
138,20120928,1417.96,1437059.26
231,20111111,4754.07,1920725.15
232,20111118,873.82,1902762.5
233,20111125,23.0,2614202.3
234,20111202,4444.0,1954952.0
235,20111209,4160.55,2290549.32
236,20111216,469.8,2432736.52
237,20111223,88.76,3224369.8
238,20111230,1515.4,1874226.52
239,20120106,2388.92,1799520.14
240,20120113,708.18,1744725.48
241,20120120,1703.1,1711769.11
242,20120127,43.4,1660906.14
243,20120203,48159.86,1935299.94
244,20120210,14114.9,2103322.68
245,20120217,4927.14,2196688.46
246,20120224,5299.73,1861802.7
247,20120302,9799.63,1952555.66
248,20120309,2498.17,1937628.26
249,20120316,2650.77,1976082.13
250,20120323,1650.49,1790439.16
251,20120330,1017.31,1857480.84
252,20120406,4874.69,2129035.91
253,20120413,4162.2,1935869.1
254,20120420,878.07,1847344.45
255,20120427,108.71,1764133.09
256,20120504,7931.42,1923957.09
257,20120511,5131.02,1917520.99
258,20120518,3694.8,2000940.67
259,20120525,3595.04,1912791.09
260,20120601,2993.15,1910092.37
261,20120608,3610.78,2010216.49
262,20120615,4455.38,1962924.3
263,20120622,6058.6,1887733.21
264,20120629,1935.16,1881046.12
265,20120706,6720.4,2041507.4
266,20120713,5674.44,1830075.13
267,20120720,3401.36,1819666.46
268,20120727,6319.33,1757923.88
269,20120803,21801.9,1946104.64
270,20120810,4187.43,1866719.96
271,20120817,4253.28,1928016.01
272,20120824,2972.88,1876788.15
273,20120831,12878.62,1947083.3
274,20120907,2920.9,1898777.07
275,20120914,1808.69,1814806.63
276,20120921,1001.42,1829415.67
277,20120928,1549.1,1746470.56
370,20111111,570.57,407764.25
371,20111118,865.09,398838.97
