Date,Promotion5,Weekly_Sales
20111111,6551.42,1594938.89
20111118,5988.57,1539483.7
20111125,554.92,2033320.66
20111202,20475.32,1584083.95
20111209,14461.82,1799682.38
20111216,4011.37,1881176.67
20111223,2739.43,2270188.99
20111230,4735.78,1497462.72
20120106,8483.0,1550369.92
20120113,3719.38,1459601.17
20120120,3400.21,1394393.84
20120127,1222.19,1319325.59
20120203,5630.4,1636339.65
20120210,6886.04,1802477.43
20120217,3402.66,1819870.0
20120224,8143.59,1539387.83
20120302,8067.61,1688420.76
20120309,5509.84,1675431.16
20120316,2017.69,1677472.78
20120323,3657.22,1511068.07
20120330,2642.78,1649604.63
20120406,4510.72,1899676.88
20120413,1063.78,1621031.7
20120420,5747.1,1521577.87
20120427,6222.25,1468928.37
20120504,3261.04,1684519.99
20120511,3127.88,1611096.05
20120518,5508.18,1595901.87
20120525,3631.13,1555444.55
20120601,3690.85,1624477.58
20120608,7161.91,1697230.96
20120615,3083.26,1630607.0
20120622,7063.68,1527845.81
20120629,4212.97,1540421.49
20120706,6149.04,1769854.16
20120713,2596.37,1527014.04
20120720,3228.19,1497954.76
20120727,4325.19,1439123.71
20120803,4661.71,1631135.79
20120810,4836.22,1592409.97
20120817,3446.15,1597868.05
20120824,7988.25,1494122.38
20120831,3032.96,1582083.4
20120907,2737.17,1661767.33
20120914,7992.72,1517428.87
20120921,6456.71,1506126.06
20120928,4744.28,1437059.26
20111111,4787.16,1920725.15
20111118,7656.42,1902762.5
20111125,1589.43,2614202.3
20111202,28238.93,1954952.0
20111209,8899.08,2290549.32
20111216,4744.27,2432736.52
20111223,6437.61,3224369.8
20111230,3027.69,1874226.52
20120106,7103.97,1799520.14
20120113,4245.6,1744725.48
20120120,3376.03,1711769.11
20120127,2613.53,1660906.14
20120203,7423.61,1935299.94
20120210,9577.83,2103322.68
20120217,6650.08,2196688.46
20120224,10380.03,1861802.7
20120302,4929.53,1952555.66
20120309,7746.0,1937628.26
20120316,2073.81,1976082.13
20120323,5263.08,1790439.16
20120330,3470.49,1857480.84
20120406,5535.13,2129035.91
20120413,1966.38,1935869.1
20120420,4080.32,1847344.45
20120427,2708.9,1764133.09
20120504,4443.52,1923957.09
20120511,3634.25,1917520.99
20120518,4612.01,2000940.67
20120525,14920.27,1912791.09
20120601,5521.72,1910092.37
20120608,10877.64,2010216.49
20120615,5288.61,1962924.3
20120622,36430.33,1887733.21
20120629,5686.13,1881046.12
20120706,5506.53,2041507.4
20120713,5012.22,1830075.13
20120720,2453.42,1819666.46
20120727,5007.01,1757923.88
20120803,6652.98,1946104.64
20120810,5286.19,1866719.96
20120817,4927.26,1928016.01
20120824,5102.26,1876788.15
20120831,4756.5,1947083.3
20120907,3275.57,1898777.07
20120914,9314.55,1814806.63
20120921,7607.94,1829415.67
20120928,3946.03,1746470.56
20111111,1005.33,407764.25
20111118,2926.05,398838.97
